LATITUDE,LONGITUDE,TWAY_ID,TWAY_ID2,DRUNK_DR,PEDS,REDLIGHTCRASH,SPEEDREL,PEDESTRIAN,YEAR,MONTH,DAY
47.69355,-117.4409972,GARLAND,CANNON,1,0,0,0,0,2006,9,21
47.6644,-117.2336361,BROADWAY,1.00E+20,1,1,0,0,1,2006,12,4
47.69385278,-117.3951472,NEVADA ST,GARLAND,1,1,0,0,1,2006,12,12
47.67124167,-117.4282528,MAXWELL,MADISON,1,0,0,0,0,2007,3,6
47.67504167,-117.3377944,WATERWORKS,UNION,1,0,0,1,0,2007,4,4
47.73679722,-117.3953583,NEVADA ST,MAGNESIUM RD,0,1,0,0,1,2007,5,8
47.69918333,-117.3978361,CINCINNATI ST,PRINCETON AVE,0,0,0,0,0,2007,6,2
47.67860278,-117.3259639,E RUTTER,1.00E+20,1,0,0,0,0,2007,6,9
47.67713056,-117.347575,UPRIVER RD,1.00E+20,1,0,0,1,0,2007,6,10
47.64004167,-117.0593611,LAKEWIDE,1.00E+20,0,1,0,0,0,2007,4,5
47.65720278,-117.389925,SPRAGUE,PERRY,0,1,0,0,1,2007,8,10
47.71673611,-117.4113361,US-395,NONE,1,1,0,0,1,2007,10,26
47.64645833,-117.4578278,ROSAMOND,10TH,0,1,0,0,1,2007,11,20
47.67185278,-117.3446889,TRENT,MISSION,1,0,1,1,0,2007,12,21
47.6266,-117.429,S HIGH DR,1.00E+20,1,0,0,1,0,2008,3,8
47.6582,-117.4296,RIVERSIDE AVE,JEFFERSON ST,0,0,0,0,0,2008,1,24
47.6969,-117.2829,ARGONNE RD,UPRIVER DR,0,0,0,0,0,2008,5,28
47.7137,-117.4255,N MONROE,1.00E+20,0,0,0,0,0,2008,7,10
47.6192,-117.4323,US-195,CHENEY-SPOKANE ROAD,0,0,0,0,0,2009,1,16
47.654,-117.4112,US-2,1.00E+20,0,1,0,0,1,2009,1,22
47.6434,-117.459,I-90,1.00E+20,0,0,0,0,0,2009,3,16
47.6517,-117.3782,EAST 5TH AVE,SOUTH LEE ST,0,0,0,1,0,2009,4,17
47.6522,-117.4134,BROWNE,4TH AVE,1,0,0,1,0,2009,6,2
47.675,-117.4073,EAST INDIANA AVE,1.00E+20,1,0,0,1,0,2009,6,19
47.6981,-117.4351,MAPLE,1.00E+20,0,0,0,0,0,2009,7,17
47.6567,-117.4236,1ST ST,POST ST,0,1,0,0,1,2009,7,2
47.6398,-117.3901,PERRY,17TH,0,1,0,0,1,2009,9,23
47.7143,-117.4756,ASSEMBLY,1.00E+20,0,1,0,0,1,2009,10,23
47.6598,-117.4133,BROWNE ST,SPOKANE FALLS BLVD,1,1,0,1,1,2009,11,20
47.6953,-117.4111,DIVISION ST,1.00E+20,0,1,0,0,1,2009,11,20
47.6542,-117.3748,2ND AVE,1.00E+20,0,0,0,0,0,2009,12,12
47.7155,-117.4419,SR-291,1.00E+20,0,1,0,0,1,2009,12,18
47.7004,-117.3951,WELLSLEY,NEVADA,1,0,1,1,0,2009,12,26
47.66040278,-117.3812333,NAPA ST,,1,0,0,0,0,2010,1,5
47.60545833,-117.3952667,S HATCH RD,54TH AVE,2,0,0,1,0,2010,2,14
47.74519722,-117.4114667,US-395,,0,1,0,0,1,2010,1,8
47.65713611,-117.4112528,US-2,SPRAGUE,1,1,0,0,0,2010,3,1
47.6534,-117.4249861,LINCOLN ST,3RD AVE,1,0,0,1,0,2010,6,26
47.68713056,-117.43475,MAPLE ST,,1,0,0,1,0,2010,10,9
47.65443333,-117.3991306,2ND AVE,SCOTT,0,1,0,0,0,2010,8,15
47.68172778,-117.4571833,N DOWNRIVER DR,,0,0,0,0,0,2010,10,22
47.67847778,-117.4266806,MONROE ST,MONTGOMERY AVE,0,1,0,0,1,2011,1,30
47.73621944,-117.3681889,E MAGNESION,,1,0,0,1,0,2011,2,10
47.75424722,-117.4246056,WAIKIKI,PINEWOOD,1,0,0,1,0,2011,4,16
47.71529167,-117.4498333,FRANCIS,,0,0,0,0,0,2011,2,25
47.67115278,-117.3869639,SINTO,,1,0,0,0,0,2011,6,11
47.69313333,-117.4111139,N DIVISION,E EMPIRE,0,1,0,0,0,2011,6,23
47.66411667,-117.3559583,ALKI RD,BROADWAY,1,0,0,1,0,2011,8,9
47.65680278,-117.3952667,SPRAGUE,SPRAGUE WAY,0,1,0,0,1,2011,8,30
47.67629167,-117.4355556,MAPLE ST,,0,1,0,0,1,2011,11,7
47.65428889,-117.3603611,THOR,2ND ST,0,1,0,0,1,2011,11,23
47.70621111,-117.4364083,ASH,,0,0,0,0,0,2011,11,11
47.69246667,-117.3650944,MARKET ST,PROVIDENCE AVE,1,1,0,0,1,2012,1,28
47.65651111,-117.4325056,1ST AVE,CEDAR,0,1,0,0,1,2012,2,14
47.74361389,-117.3954222,NEVADA,,0,0,0,0,0,2012,5,6
47.65935833,-117.3767194,MAIN,STONE,1,0,0,0,0,2012,5,26
47.64296111,-117.5571194,US-2,,0,0,0,0,0,2012,6,15
47.62088889,-117.3793083,37TH AVE,CRESTLINE ST,0,1,0,0,1,2012,8,11
47.66608056,-117.4456472,DEAN,,0,1,0,0,1,2012,7,2
47.65455556,-117.4081361,2ND STREET,COWLEY,0,1,0,0,1,2012,9,26
47.6397,-117.3899778,PERRY,17TH,0,0,0,0,0,2012,10,10
47.72866667,-117.4112694,N DIVISION ST,,0,0,0,0,0,2012,12,22
47.63723333,-117.5183306,W AIRPORT DR,S SPOTTED RD,1,0,0,0,0,2013,1,5
47.69304167,-117.3870306,EMPIRE,HELENA,0,0,0,0,0,2013,2,10
47.65398889,-117.4743917,INDIAN CANYON RD,,1,0,0,1,0,2013,3,8
47.67170556,-117.4355083,MAPLE ST,MISSION AVE,0,0,0,1,0,2013,6,5
47.70364167,-117.4112972,US-2,,1,0,0,0,0,2013,7,28
47.65247778,-117.4249389,LINCOLN ST,,0,0,0,1,0,2013,8,9
47.67175278,-117.3448083,SR-290,MSSION,0,0,0,0,0,2013,9,10
47.63732222,-117.4471611,US-195,,0,0,0,0,0,2013,10,17
47.67761944,-117.4266583,MONROE,MANSFIELD,0,3,0,0,1,2013,10,18
47.70073611,-117.4431972,WELLESLEY,BELT,0,0,1,0,0,2014,1,20
47.67175,-117.3866,MISSION AVE,S RIVERTON AVE,0,1,0,0,1,2014,2,9
47.61906111,-117.4323306,US-195,CHENEY SPOKANE RD,0,0,0,0,0,2014,5,1
47.65083889,-117.4385861,I-90,,0,1,0,0,1,2014,7,25
47.71515278,-117.4253778,SR-291,MONROE,0,0,0,0,0,2014,7,26
47.66889722,-117.436975,AST ST,SHARP AVE,0,1,0,0,1,2014,6,19
47.65710278,-117.4329,SPRAGUE AVE,CEDAR ST,1,1,0,1,1,2015,1,25
47.67311111,-117.4266944,MONROE ST,AUGUSTA AVE,0,1,0,0,1,2015,2,20
47.70806111,-117.4364417,N ASH ST,W ROWAN AVE,0,0,0,0,0,2015,4,26
47.64306944,-117.5088389,US-2,,1,1,0,0,1,2015,5,7
47.64916944,-117.4508694,W SUNSET BLVD,,1,0,0,1,0,2015,6,5
47.67180278,-117.3535833,MISSION AVE,REBECCA,1,1,0,0,0,2015,7,15
47.67275,-117.3965417,N HAMILTON ST,E AUGUSTA AVE,1,0,0,0,0,2015,7,15
47.67252778,-117.4095472,US-395,,0,2,0,0,1,2015,7,28
47.70300556,-117.3951278,NEVADA ST,OLYMPIC,0,1,0,0,1,2015,8,3
47.64661111,-117.458775,W SUNSET BLVD,,0,0,0,0,0,2015,9,2
47.69342778,-117.3650722,MARKET ST,GARLAND AVE,1,0,0,0,0,2015,9,4
47.63255,-117.4446694,SR-195,W THORPE RD,0,0,0,0,0,2015,9,5
47.65265556,-117.4139028,I-90,,1,0,0,0,0,2015,10,6
47.66435,-117.4356667,N MAPLE,,1,0,0,1,0,2015,10,7
47.7154,-117.4350361,SR-291,MAPLE ST,1,0,0,0,0,2015,12,20
47.68618056,-117.3789917,CRESTLINE,EUCLIDE,0,0,0,0,0,2015,5,22
